eventID,basisOfRecord,sampleType,fieldNumber,partnerID,continent,country,county,waterBody,localitySite,localityID,verbatimLocality,decimalLatitude,decimalLongitude,minimumDepthInMeters,recordedBy,year,month,day,eventTime,samplingProtocol,samplingDuration,eventRemarks
EA-2016.10.25-ESK-SEI2,Event,Fishes,Upstream Boghall Road Bridge Seine Net Site; 25-October-2016,EA,Europe,United Kingdom,Yorkshire,River Esk,ESK-ROAD,ESK,Upstream Boghall Road Bridge,54.478302,-0.61407252,1,Environment Agency staff,2016,10,25,NA,Seine,2,
EA-2016.10.26-ESK-FYKE,Event,Fishes,Whitby Harbour Fyke Net Site; 26-October-2016,EA,Europe,United Kingdom,Yorkshire,River Esk,ESK-PIER,ESK,Whitby Harbour,54.491656,-0.61156746,2,Environment Agency staff,2016,10,26,NA,Fyke,12,
EA-2016.10.26-ESK-SEI1,Event,Fishes,Whitby Harbour Seine Net Site; 26-October-2016,EA,Europe,United Kingdom,Yorkshire,River Esk,ESK-PIER,ESK,Whitby Harbour,54.48974,-0.6122036,1,Environment Agency staff,2016,10,26,NA,Seine,2,
EA-2016.10.26-ESK-SED1,Event,Sediments,ESK-SED1.1; ESK-SED1.2; ESK-SED1.3,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-PIER,ESK,Whitby Harbour - East Beach,54.48975,-0.612617,1,Owen Wangensteen,2016,10,26,,Corer-Falcon,NA,Sandy sediments
EA-2016.10.26-ESK-FYKE,Event,Water,ESK-FYK01; ESK-FYK02; ESK-FYK03,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-PIER,ESK,Whitby Harbour - East Pier,54.491633,-0.611833,0,Owen Wangensteen,2016,10,26,,Sterivex-0.22,NA,
EA-2016.10.26-ESK-SEI1,Event,Water,ESK-SEI1.1; ESK-SEI1.2; ESK-SEI1.3,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-PIER,ESK,Whitby Harbour - East Beach,54.48975,-0.612617,0,Owen Wangensteen,2016,10,26,,Sterivex-0.22,NA,
EA-2016.10.26-ESK-SED2,Event,Sediments,ESK-SED2.1; ESK-SED2.2; ESK-SED2.3,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-ROAD,ESK,Under the bridge of A171,54.4786,-0.613567,1,Owen Wangensteen,2016,10,26,,Corer-Falcon,NA,Mixed river sediments
EA-2016.10.26-ESK-SEI2,Event,Water,ESK-SEI2.1; ESK-SEI2.2; ESK-SEI2.3,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-ROAD,ESK,Under the bridge of A171,54.4786,-0.613567,0,Owen Wangensteen,2016,10,26,,Sterivex-0.22,NA,
EA-2016.10.26-ESK-SEI3,Event,Fishes,Esk Downstream of Viaduct Slipway Seine Site; 26-October-2016,EA,Europe,United Kingdom,Yorkshire,River Esk,ESK-VIAD,ESK,Downstream of Viaduct Slipway,54.473867,-0.61767929,1,Environment Agency staff,2016,10,26,NA,Seine,2,
EA-2016.10.26-ESK-SED3,Event,Sediments,ESK-SED3.1; ESK-SED3.2; ESK-SED3.3,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-VIAD,ESK,Under the old railway bridge - Riverside Cottage,54.474217,-0.61795,1,Owen Wangensteen,2016,10,26,,Corer-Falcon,NA,Mixed river sediments
EA-2016.10.26-ESK-SEI3,Event,Water,ESK-SEI3.1; ESK-SEI3.2; ESK-SEI3.3,EA,Europe,United Kindgom,Yorkshire,River Esk,ESK-VIAD,ESK,Under the old railway bridge - Riverside Cottage,54.474217,-0.61795,0,Owen Wangensteen,2016,10,26,,Sterivex-0.22,NA,Very muddy water. Just 100 ml filtered through the sterivex
EA-2016.10.31-TEES-BEAM,Event,Fishes,North Gare Sands Beam Trawl; 31-October-2016,EA,Europe,United Kingdom,Yorkshire,River Tees,TEES-GARE,TEES,North Gare Sands,54.631808,-1.165846,5,Environment Agency staff,2016,10,31,NA,Beam trawl,1,
EA-2016.10.31-TEES-SEI2,Event,Fishes,North Gare Sands Seine Netting; 31-October-2016,EA,Europe,United Kingdom,Yorkshire,River Tees,TEES-GARE,TEES,North Gare Sands,54.631808,-1.165846,1,Environment Agency staff,2016,10,31,NA,Seine,2,
EA-2016.10.31-TEES-SED2,Event,Sediments,TEES-SED2.1; TEES-SED2.2; TEES-SED2.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-GARE,TEES,"North Gare, at the Tees Mouth",54.632317,-1.1678,1,Owen Wangensteen,2016,10,31,,Corer-Falcon,NA,Sandy sediments
EA-2016.10.31-TEES-SEI2,Event,Water,TEES-SEI2.1; TEES-SEI2.2; TEES-SEI2.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-GARE,TEES,"North Gare, at the Tees Mouth",54.632317,-1.1678,0,Owen Wangensteen,2016,10,31,,Sterivex-0.22,NA,
EA-2016.10.31-TEES-SED1,Event,Sediments,TEES-SED1.1; TEES-SED1.2; TEES-SED1.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-POR,TEES,"The muddy place, near Portrack Marsh",54.566983,-1.276117,1,Owen Wangensteen,2016,10,31,,Corer-Falcon,NA,Muddy sediments
EA-2016.10.31-TEES-SEI1,Event,Water,TEES-SEI1.1; TEES-SEI1.2; TEES-SEI1.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-POR,TEES,"The muddy place, near Portrack Marsh",54.566983,-1.276117,0,Owen Wangensteen,2016,10,31,,Sterivex-0.22,NA,
EA-2016.11.13-TEES-OTTER,Event,Fishes,Seaton Sands CSV Otter Trawl; 13-November-2016,EA,Europe,United Kingdom,Yorkshire,River Tees,TEES-SEAT,TEES,Seaton Sands,54.659342,-1.1616703,5,Environment Agency staff,2016,11,13,NA,Otter trawl,1,
EA-2017.05.30-TEES-SED3,Event,Sediments,TEES-SED3.1; TEES-SED3.2; TEES-SED3.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-GARE,TEES,"North Gare, at the Tees Mouth",54.631327,-1.164447,1,Owen Wangensteen,2017,5,30,,Corer-Falcon,NA,Sandy sediments
EA-2017.05.30-TEES-SEI3,Event,Water,TEES-SEI3.1; TEES-SEI3.2; TEES-SEI3.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-GARE,TEES,"North Gare, at the Tees Mouth",54.631327,-1.164447,0,Owen Wangensteen,2017,5,30,,Sterivex-0.22,NA,
EA-2017.05.30-TEES-SED4,Event,Sediments,TEES-SED4.1; TEES-SED4.2; TEES-SED4.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-POR,TEES,"The muddy place, near Portrack Marsh",54.566983,-1.276117,1,Owen Wangensteen,2017,5,30,,Corer-Falcon,NA,Muddy sediments
EA-2017.05.30-TEES-SEI4,Event,Water,TEES-SEI4.1; TEES-SEI4.2; TEES-SEI4.3,EA,Europe,United Kindgom,Yorkshire,River Tees,TEES-POR,TEES,"The muddy place, near Portrack Marsh",54.566983,-1.276117,0,Owen Wangensteen,2017,5,30,,Sterivex-0.22,NA,
EA-2017.05.31-TEES-BEAM,Event,Fishes,North Gare Sands Beam Trawl; 31-May-2017,EA,Europe,United Kingdom,Yorkshire,River Tees,TEES-GARE,TEES,North Gare Sands,54.631808,-1.165846,5,Environment Agency staff,2017,5,31,NA,Beam trawl,1,
EA-2017.05.31-TEES-SEI3,Event,Fishes,North Gare Sands Seine Netting; 31-May-2017,EA,Europe,United Kingdom,Yorkshire,River Tees,TEES-GARE,TEES,North Gare Sands,54.631808,-1.165846,1,Environment Agency staff,2017,5,31,NA,Seine,2,
EA-2017.06.07-TWEED-SED2,Event,Sediments,TWEED-SED2.1; TWEED-SED2.2; TWEED-SED2.3,EA,Europe,United Kindgom,Northumberland,River Tweed,TWEED-MOUTH,TWEED,"Sandstell Beach, Tweed mouth",55.761952,-1.994386,1,Owen Wangensteen,2017,6,7,,Corer-Falcon,NA,Sandy sediments. Corer lost due to strong current. Sediment taken directly with Falcon tubes
