species,lifestyle,notes,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Atherina boyeri,pelagic,,NA,NA,NA,NA,111,111,111,NA,NA,NA,NA,NA
Belone belone,pelagic,,NA,NA,NA,NA,111,111,NA,NA,NA,NA,NA,NA
Clupea harengus,pelagic,Modified following Ellis et al. (2012).,111,111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sardina pilchardus,pelagic,"Modified following Haynes and Nichols (1994), CEFAS (2007).",NA,NA,111,111,111,111,111,NA,NA,NA,NA,NA
Sprattus sprattus,pelagic,"Modified following Pawson (1995), Heesen et al. (2015).",NA,111,111,111,111,111,111,111,NA,NA,NA,NA
Engraulis encrasicolus,pelagic,Modified following CEFAS (2007).,NA,NA,NA,111,111,111,111,111,NA,NA,NA,NA
Gadus morhua,benthopelagic,"Modified following PMF (Steven, 1957).",NA,111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melanogrammus aeglefinus,benthopelagic,,NA,111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merlangius merlangus,benthopelagic,Modified following Ellis et al. (2012) and Pawson (1995).,NA,111,111,111,111,111,NA,NA,NA,NA,NA,NA
Micromesistius poutassou,benthopelagic,,NA,NA,111,111,NA,NA,NA,NA,NA,NA,NA,NA
Pollachius pollachius,benthopelagic,Modified following CEFAS (2007).,111,111,111,111,NA,NA,NA,NA,NA,NA,NA,NA
Pollachius virens,benthopelagic,,111,111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raniceps raninus,benthic,,NA,NA,NA,NA,111,111,111,111,111,NA,NA,NA
Trisopterus esmarkii,benthopelagic,,111,111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trisopterus luscus,benthopelagic,Modified following CEFAS (2007).,NA,NA,111,111,NA,NA,NA,NA,NA,NA,NA,NA
Trisopterus minutus,benthopelagic,Modified following Heesen et al. (2015).,NA,111,111,111,111,NA,NA,NA,NA,NA,NA,NA
Ciliata mustela,benthic,,NA,111,111,111,111,NA,NA,NA,NA,NA,NA,NA
Ciliata septentrionalis,benthic,,NA,NA,111,111,111,NA,NA,NA,NA,NA,NA,NA
Enchelyopus cimbrius,benthic,Modified following CEFAS (2007).,NA,NA,NA,NA,111,111,111,111,NA,NA,NA,NA
Molva molva,benthopelagic,Modified following Ellis et al. (2012).,NA,111,111,111,111,NA,NA,NA,NA,NA,NA,NA
Merluccius merluccius,benthopelagic,Modified following Ellis et al. (2012).,111,111,111,111,111,111,NA,NA,NA,NA,NA,NA
Phycis blennoides,benthopelagic,Modified following Heesen et al. (2015).,NA,NA,111,111,111,111,NA,NA,NA,NA,NA,NA
Diplecogaster bimaculata,benthic,,NA,NA,NA,NA,111,111,111,111,NA,NA,NA,NA
Lophius piscatorius,benthic,Modified following Pawson (1995).,NA,NA,111,111,111,111,111,NA,NA,NA,NA,NA
Lophius budegassa,benthic,As L. piscatorius,NA,NA,111,111,111,111,111,NA,NA,NA,NA,NA
Chelon auratus,pelagic,"Modified following CEFAS (2007), Heesen et al. (2015).",NA,NA,NA,NA,NA,NA,111,111,111,111,111,NA
Chelon labrosus,pelagic,Modified following CEFAS (2007).,NA,NA,NA,111,111,NA,NA,NA,NA,NA,NA,NA
Chelon ramada,pelagic,Modified following CEFAS (2007).,111,NA,NA,NA,NA,NA,NA,NA,NA,111,111,111
Ammodytes marinus,benthopelagic,Modified following Ellis et al. (2012).,111,111,NA,NA,NA,NA,NA,NA,NA,NA,111,111
Ammodytes tobianus,benthopelagic,Modified following Ellis et al. (2012).,111,111,NA,NA,NA,NA,NA,NA,NA,NA,111,111
Hyperoplus lanceolatus,benthopelagic,Modified following Ellis et al. (2012).,111,111,NA,NA,NA,NA,NA,NA,NA,NA,111,111
Hyperoplus immaculatus,benthopelagic,Modified following Ellis et al. (2012).,111,111,NA,NA,NA,NA,NA,NA,NA,NA,111,111
Echiichthys vipera,benthic,Modified following CEFAS (2007).,NA,NA,NA,NA,NA,111,111,111,NA,NA,NA,NA
