eventID,eventDate,fieldNumber,basisOfRecord,lifeStage,taxonRank,scientificName,individualCount,weightInGrams
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Agonus cataphractus,1,11
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Arnoglossus laterna,37,435
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Buglossidium luteum,51,887
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Callionymus lyra,35,2180
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Callionymus maculatus,4,32
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Cepola macrophthalma,3,40
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Chelidonichthys cuculus,26,311
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Enchelyopus cimbrius,1,40
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Eutrigla gurnardus,35,310
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,genus,Gobius,1,1
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Limanda limanda,2,200
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Merlangius merlangus,39,15332
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Microchirus variegatus,135,4500
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Microstomus kitt,5,1415
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Phrynorhombus norvegicus,1,15
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Pleuronectes platessa,4,1280
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Raniceps raninus,1,4
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Scomber scombrus,2,340
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Scyliorhinus canicula,1,850
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Solea solea,2,550
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Trisopterus luscus,8,1239
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Trisopterus minutus,415,17500
MBA-2016.01.14-L4-01,2016-01-14,2016-001,Occurrence,Adult,species,Zeus faber,2,500
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Arnoglossus laterna,67,757
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Blennius ocellaris,2,45
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Buglossidium luteum,25,508
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Callionymus lyra,42,2245
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Callionymus maculatus,13,83
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Cepola macrophthalma,2,25
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Chelidonichthys cuculus,8,77
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Conger conger,1,3000
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Eutrigla gurnardus,21,201
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,genus,Gobius,1,1
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Labrus bergylta,1,49
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Limanda limanda,4,630
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Lophius piscatorius,1,240
MBA-2016.01.14-L4-01,2016-01-14,2016-002,Occurrence,Adult,species,Merlangius merlangus,24,10038
